latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
40.30265,-123.34277,326.81,0.4,0.37,2023-01-01,1002,N,VIIRS,n,2,273.74,2.76,N,0
40.47156,-122.47469,298.88,0.39,0.36,2023-01-01,1002,N,VIIRS,n,2,276.57,0.78,N,0
40.86136,-123.87157,303.98,0.41,0.37,2023-01-01,1002,N,VIIRS,n,2,275.47,0.91,N,0
37.95076,-122.40051,297.87,0.38,0.36,2023-01-01,1003,N,VIIRS,n,2,285.24,0.94,N,2
38.00505,-121.93247,298.74,0.39,0.36,2023-01-01,1003,N,VIIRS,n,2,279.66,0.39,N,0
38.07198,-122.13905,306.65,0.38,0.36,2023-01-01,1003,N,VIIRS,n,2,288.49,1.62,N,2
38.62769,-123.32094,296.41,0.39,0.36,2023-01-01,1003,N,VIIRS,n,2,277.48,2.73,N,0
38.62836,-123.32539,327.13,0.39,0.36,2023-01-01,1003,N,VIIRS,n,2,280.42,7.14,N,0
39.15087,-122.65292,297.92,0.39,0.36,2023-01-01,1003,N,VIIRS,n,2,274.51,0.56,N,0
39.15154,-122.65734,301.45,0.39,0.36,2023-01-01,1003,N,VIIRS,n,2,274.29,0.82,N,0
37.56534,-120.96962,335.37,0.53,0.42,2023-01-01,2124,N,VIIRS,n,2,287.82,6.25,D,0
37.56535,-120.97171,328.62,0.53,0.42,2023-01-01,2124,N,VIIRS,n,2,287.04,6.29,D,0
40.50795,-122.40488,329.72,0.5,0.41,2023-01-01,2125,N,VIIRS,n,2,285.15,4.68,D,0
40.50797,-122.40669,328.22,0.5,0.41,2023-01-01,2125,N,VIIRS,n,2,285.36,2.7,D,0
39.62093,-119.26151,297.45,0.4,0.37,2023-01-02,944,N,VIIRS,n,2,270.92,0.79,N,0
33.77864,-118.23626,299.55,0.39,0.36,2023-01-02,945,N,VIIRS,n,2,281.31,0.59,N,2
33.79575,-117.4766,307.52,0.4,0.37,2023-01-02,945,N,VIIRS,n,2,277.1,0.96,N,0
33.82097,-118.24355,301.96,0.39,0.36,2023-01-02,945,N,VIIRS,n,2,283.36,0.78,N,2
33.852,-118.3325,298.15,0.39,0.36,2023-01-02,945,N,VIIRS,n,2,279.03,0.85,N,0
33.8764,-117.00082,297.29,0.4,0.37,2023-01-02,945,N,VIIRS,n,2,276.89,0.47,N,0
34.03606,-118.10651,298.91,0.39,0.36,2023-01-02,945,N,VIIRS,n,2,276.56,0.49,N,0
34.04075,-117.82332,295.38,0.39,0.36,2023-01-02,945,N,VIIRS,n,2,277.85,0.42,N,2
34.1521,-118.19349,298.31,0.39,0.36,2023-01-02,945,N,VIIRS,n,2,277.71,0.45,N,2
34.15541,-118.19273,298.34,0.39,0.36,2023-01-02,945,N,VIIRS,n,2,276.27,0.45,N,2
34.33424,-118.5187,309.24,0.38,0.36,2023-01-02,945,N,VIIRS,n,2,273.07,0.72,N,2
34.60886,-117.33557,300.27,0.39,0.37,2023-01-02,945,N,VIIRS,n,2,275.61,0.71,N,0
34.62112,-117.10129,305.98,0.4,0.37,2023-01-02,945,N,VIIRS,n,2,274.64,1.4,N,2
34.6217,-117.09879,297.39,0.4,0.37,2023-01-02,945,N,VIIRS,n,2,274.81,0.82,N,2
34.62244,-117.10306,298.73,0.4,0.37,2023-01-02,945,N,VIIRS,n,2,274.79,0.82,N,2
32.52581,-115.31683,329.33,0.52,0.41,2023-01-02,2104,N,VIIRS,n,2,296.75,2.47,D,0
32.65954,-115.06969,356.58,0.53,0.42,2023-01-02,2104,N,VIIRS,n,2,300.12,19.19,D,0
32.66014,-115.07195,345.51,0.53,0.42,2023-01-02,2104,N,VIIRS,n,2,298.42,9.93,D,0
32.66076,-115.06625,332.92,0.53,0.42,2023-01-02,2104,N,VIIRS,n,2,296.35,9.93,D,0
33.9526,-116.49335,311.67,0.41,0.37,2023-01-03,926,N,VIIRS,n,2,280.03,1.19,N,0
32.6614,-115.07306,347.91,0.38,0.36,2023-01-03,2045,N,VIIRS,n,2,292.97,7.56,D,0
32.60769,-114.61116,347.6,0.47,0.4,2023-01-04,2026,N,VIIRS,n,2,298.33,20.55,D,0
32.60862,-114.60619,338.34,0.47,0.4,2023-01-04,2026,N,VIIRS,n,2,299.35,28.6,D,0
32.74879,-115.4686,347.35,0.51,0.41,2023-01-04,2026,N,VIIRS,n,2,290.85,8.82,D,0
32.74982,-115.46319,330.47,0.51,0.41,2023-01-04,2026,N,VIIRS,n,2,284.73,4.65,D,0
32.75253,-115.4696,347.83,0.51,0.41,2023-01-04,2026,N,VIIRS,n,2,286.32,8.8,D,0
33.10886,-115.35933,330.59,0.5,0.41,2023-01-04,2026,N,VIIRS,n,2,293.85,1.99,D,0
33.10927,-115.36098,334.72,0.5,0.41,2023-01-04,2026,N,VIIRS,n,2,294.34,3.17,D,0
37.95076,-122.39812,295.91,0.39,0.44,2023-01-05,1028,N,VIIRS,n,2,285.54,1.35,N,2
38.00395,-121.93332,296.46,0.41,0.45,2023-01-05,1028,N,VIIRS,n,2,280.3,0.6,N,0
38.01677,-122.11269,298.23,0.4,0.44,2023-01-05,1028,N,VIIRS,n,2,285.88,1.34,N,2
38.06958,-122.14031,295.15,0.4,0.44,2023-01-05,1028,N,VIIRS,n,2,284.11,0.72,N,2
38.07353,-122.13885,299.2,0.4,0.44,2023-01-05,1028,N,VIIRS,n,2,287.46,0.72,N,2
36.35879,-114.91277,295.06,0.65,0.73,2023-01-06,829,N,VIIRS,n,2,274.37,0.77,N,2
36.35614,-114.91107,295.66,0.58,0.52,2023-01-06,1009,N,VIIRS,n,2,274.74,0.75,N,2
39.49237,-119.62035,295.38,0.46,0.39,2023-01-06,1009,N,VIIRS,n,2,269.72,0.73,N,0
39.62041,-119.26065,296.71,0.47,0.4,2023-01-06,1009,N,VIIRS,n,2,273.36,1.0,N,0
39.98697,-121.00102,306.08,0.41,0.37,2023-01-06,1009,N,VIIRS,n,2,271.92,1.73,N,0
39.99018,-120.97949,308.59,0.41,0.37,2023-01-06,1009,N,VIIRS,n,2,272.28,1.93,N,0
39.99104,-120.98426,321.83,0.41,0.37,2023-01-06,1009,N,VIIRS,n,2,273.07,1.93,N,0
39.99207,-121.00961,344.57,0.41,0.37,2023-01-06,1009,N,VIIRS,n,2,274.98,10.18,N,0
39.99543,-121.00859,328.71,0.41,0.37,2023-01-06,1009,N,VIIRS,n,2,275.78,10.18,N,0
33.61277,-117.82156,295.79,0.47,0.48,2023-01-06,1010,N,VIIRS,n,2,278.77,0.6,N,0
33.80474,-118.24209,298.65,0.44,0.46,2023-01-06,1010,N,VIIRS,n,2,284.65,1.34,N,0
33.81825,-118.2428,296.51,0.44,0.46,2023-01-06,1010,N,VIIRS,n,2,284.55,1.5,N,2
33.85504,-118.33327,297.08,0.43,0.46,2023-01-06,1010,N,VIIRS,n,2,284.72,1.0,N,2
33.93353,-117.84128,302.25,0.46,0.47,2023-01-06,1010,N,VIIRS,n,2,280.22,0.91,N,0
34.15444,-118.19145,311.76,0.44,0.46,2023-01-06,1010,N,VIIRS,n,2,277.98,0.67,N,2
34.33691,-118.52109,301.9,0.42,0.45,2023-01-06,1010,N,VIIRS,n,2,276.97,0.61,N,2
32.59252,-115.34713,340.55,0.55,0.68,2023-01-06,1949,N,VIIRS,n,2,292.36,4.52,D,0
32.65778,-115.03963,367.0,0.53,0.67,2023-01-06,1949,N,VIIRS,h,2,295.67,71.48,D,0
32.59268,-115.34755,328.02,0.39,0.59,2023-01-06,2129,N,VIIRS,n,2,296.48,1.83,D,0
32.70316,-115.60574,345.84,0.38,0.58,2023-01-06,2129,N,VIIRS,n,2,296.46,9.49,D,0
32.70343,-115.60161,355.3,0.38,0.58,2023-01-06,2129,N,VIIRS,n,2,307.38,20.06,D,0
32.7037,-115.59748,367.0,0.38,0.58,2023-01-06,2129,N,VIIRS,h,2,301.34,20.06,D,0
34.13733,-118.35464,340.05,0.54,0.51,2023-01-06,2130,N,VIIRS,n,2,292.52,6.75,D,0
35.55504,-115.46799,333.58,0.41,0.6,2023-01-06,2130,N,VIIRS,n,2,283.07,2.88,D,0
35.57701,-115.47969,343.4,0.41,0.6,2023-01-06,2130,N,VIIRS,n,2,283.86,3.87,D,0
34.1412,-117.42975,296.37,0.43,0.38,2023-01-07,951,N,VIIRS,n,2,277.21,0.47,N,0
34.29148,-118.80051,303.4,0.4,0.37,2023-01-07,951,N,VIIRS,n,2,276.89,0.72,N,2
34.62073,-117.10112,308.59,0.44,0.38,2023-01-07,951,N,VIIRS,n,2,275.57,2.05,N,2
36.35916,-114.91288,300.66,0.5,0.41,2023-01-07,951,N,VIIRS,n,2,276.37,1.33,N,2
32.51116,-115.42317,299.16,0.56,0.43,2023-01-07,952,N,VIIRS,n,2,275.54,0.69,N,0
32.59729,-117.01241,301.7,0.47,0.4,2023-01-07,952,N,VIIRS,n,2,278.91,1.15,N,0
32.85648,-117.14594,303.58,0.46,0.39,2023-01-07,952,N,VIIRS,n,2,279.46,0.42,N,2
33.61255,-117.82463,303.07,0.43,0.38,2023-01-07,952,N,VIIRS,n,2,277.28,0.5,N,0
33.71505,-117.70937,303.65,0.43,0.38,2023-01-07,952,N,VIIRS,n,2,275.92,0.57,N,0
33.79258,-117.47472,303.29,0.44,0.38,2023-01-07,952,N,VIIRS,n,2,276.9,1.22,N,0
32.66172,-115.05175,331.0,0.43,0.46,2023-01-07,2110,N,VIIRS,n,2,298.17,10.61,D,0
32.66218,-115.04713,339.49,0.43,0.46,2023-01-07,2110,N,VIIRS,n,2,299.67,17.14,D,0
32.7655,-115.37786,331.86,0.41,0.45,2023-01-07,2110,N,VIIRS,n,2,293.94,2.52,D,0
32.59743,-117.01083,307.47,0.39,0.36,2023-01-08,933,N,VIIRS,n,2,279.75,0.82,N,0
32.85711,-117.14809,301.54,0.39,0.36,2023-01-08,933,N,VIIRS,n,2,277.42,0.68,N,2
34.15354,-118.19392,298.56,0.42,0.37,2023-01-08,933,N,VIIRS,n,2,266.24,0.77,N,2
34.33493,-118.51971,296.41,0.43,0.38,2023-01-08,933,N,VIIRS,n,2,259.41,0.14,N,2
32.99646,-116.7524,343.39,0.49,0.4,2023-01-09,2033,N,VIIRS,n,2,282.2,8.46,D,0
40.56742,-122.44058,327.53,0.44,0.46,2023-01-09,2035,N,VIIRS,n,2,285.73,2.1,D,0
41.79096,-122.6555,335.67,0.42,0.45,2023-01-09,2035,N,VIIRS,n,2,282.43,7.72,D,0
41.79219,-122.65008,338.28,0.42,0.45,2023-01-09,2035,N,VIIRS,n,2,286.08,14.43,D,0
34.07835,-117.50238,297.2,0.58,0.52,2023-01-11,1017,N,VIIRS,n,2,278.11,0.9,N,2
32.654,-115.0841,302.71,0.46,0.47,2023-01-12,958,N,VIIRS,n,2,278.52,2.16,N,0
32.85724,-117.14552,298.42,0.54,0.42,2023-01-12,958,N,VIIRS,n,2,279.91,0.72,N,2
33.6142,-117.82452,295.08,0.49,0.4,2023-01-12,958,N,VIIRS,n,2,278.34,0.66,N,0
